MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),23-08-2025 02:30
10010803683,000000000022208324,1.4400,Active Import Interval (kWh),23-08-2025 02:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),23-08-2025 02:00
10010803683,000000000022208324,0.1730,Active Import Interval (kWh),23-08-2025 02:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),23-08-2025 01:30
10010803683,000000000022208324,0.1510,Active Import Interval (kWh),23-08-2025 01:30
10010803683,000000000022208324,0.1760,Active Import Interval (kWh),23-08-2025 01:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),23-08-2025 01:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),23-08-2025 00:30
10010803683,000000000022208324,0.1710,Active Import Interval (kWh),23-08-2025 00:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),23-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),23-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 22:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 22:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 22:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 22:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 21:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),22-08-2025 21:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 21:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 21:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 20:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),22-08-2025 20:30
10010803683,000000000022208324,0.0030,Active Export Interval (kWh),22-08-2025 20:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 20:00
10010803683,000000000022208324,0.0020,Active Export Interval (kWh),22-08-2025 19:30
10010803683,000000000022208324,0.0860,Active Import Interval (kWh),22-08-2025 19:30
10010803683,000000000022208324,0.2280,Active Import Interval (kWh),22-08-2025 19:00
10010803683,000000000022208324,0.0020,Active Export Interval (kWh),22-08-2025 19:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),22-08-2025 18:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),22-08-2025 18:30
10010803683,000000000022208324,0.0390,Active Import Interval (kWh),22-08-2025 18:00
10010803683,000000000022208324,0.0100,Active Export Interval (kWh),22-08-2025 18:00
10010803683,000000000022208324,0.1210,Active Import Interval (kWh),22-08-2025 17:30
