MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,2.880,Active Import Interval (kW),23-08-2025 02:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),23-08-2025 02:30
10010803683,000000000022208324,0.346,Active Import Interval (kW),23-08-2025 02:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),23-08-2025 02:00
10010803683,000000000022208324,0.302,Active Import Interval (kW),23-08-2025 01:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),23-08-2025 01:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),23-08-2025 01:00
10010803683,000000000022208324,0.352,Active Import Interval (kW),23-08-2025 01:00
10010803683,000000000022208324,0.342,Active Import Interval (kW),23-08-2025 00:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),23-08-2025 00:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),23-08-2025 00:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),23-08-2025 00:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 23:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 23:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 23:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 23:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 22:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 22:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 22:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 22:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 21:30
10010803683,000000000022208324,0.002,Active Export Interval (kW),22-08-2025 21:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 21:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 21:00
10010803683,000000000022208324,0.002,Active Export Interval (kW),22-08-2025 20:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 20:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 20:00
10010803683,000000000022208324,0.006,Active Export Interval (kW),22-08-2025 20:00
10010803683,000000000022208324,0.172,Active Import Interval (kW),22-08-2025 19:30
10010803683,000000000022208324,0.004,Active Export Interval (kW),22-08-2025 19:30
10010803683,000000000022208324,0.004,Active Export Interval (kW),22-08-2025 19:00
10010803683,000000000022208324,0.456,Active Import Interval (kW),22-08-2025 19:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 18:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 18:30
10010803683,000000000022208324,0.020,Active Export Interval (kW),22-08-2025 18:00
10010803683,000000000022208324,0.078,Active Import Interval (kW),22-08-2025 18:00
10010803683,000000000022208324,0.418,Active Export Interval (kW),22-08-2025 17:30
10010803683,000000000022208324,0.242,Active Import Interval (kW),22-08-2025 17:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 17:00
10010803683,000000000022208324,1.052,Active Export Interval (kW),22-08-2025 17:00
10010803683,000000000022208324,0.932,Active Export Interval (kW),22-08-2025 16:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 16:30
10010803683,000000000022208324,1.118,Active Export Interval (kW),22-08-2025 16:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 16:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 15:30
10010803683,000000000022208324,1.174,Active Export Interval (kW),22-08-2025 15:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 15:00
10010803683,000000000022208324,1.228,Active Export Interval (kW),22-08-2025 15:00
10010803683,000000000022208324,2.846,Active Export Interval (kW),22-08-2025 14:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 14:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 14:00
10010803683,000000000022208324,2.772,Active Export Interval (kW),22-08-2025 14:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 13:30
10010803683,000000000022208324,3.970,Active Export Interval (kW),22-08-2025 13:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 13:00
10010803683,000000000022208324,4.178,Active Export Interval (kW),22-08-2025 13:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 12:30
10010803683,000000000022208324,3.654,Active Export Interval (kW),22-08-2025 12:30
10010803683,000000000022208324,2.174,Active Export Interval (kW),22-08-2025 12:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 12:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 11:30
10010803683,000000000022208324,1.976,Active Export Interval (kW),22-08-2025 11:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 11:00
10010803683,000000000022208324,0.258,Active Export Interval (kW),22-08-2025 11:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 10:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 10:30
10010803683,000000000022208324,0.016,Active Export Interval (kW),22-08-2025 10:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 10:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 09:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 09:30
10010803683,000000000022208324,0.002,Active Export Interval (kW),22-08-2025 09:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 09:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 08:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 08:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 08:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 08:00
10010803683,000000000022208324,0.002,Active Export Interval (kW),22-08-2025 07:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 07:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 07:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 07:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 06:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 06:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 06:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 06:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 05:30
10010803683,000000000022208324,0.002,Active Import Interval (kW),22-08-2025 05:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 05:00
10010803683,000000000022208324,0.252,Active Import Interval (kW),22-08-2025 05:00
10010803683,000000000022208324,0.232,Active Import Interval (kW),22-08-2025 04:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 04:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 04:00
10010803683,000000000022208324,2.340,Active Import Interval (kW),22-08-2025 04:00
10010803683,000000000022208324,2.516,Active Import Interval (kW),22-08-2025 03:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 03:30
10010803683,000000000022208324,2.508,Active Import Interval (kW),22-08-2025 03:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 03:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 02:30
10010803683,000000000022208324,2.810,Active Import Interval (kW),22-08-2025 02:30
10010803683,000000000022208324,0.328,Active Import Interval (kW),22-08-2025 02:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 02:00
10010803683,000000000022208324,0.330,Active Import Interval (kW),22-08-2025 01:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 01:30
10010803683,000000000022208324,0.338,Active Import Interval (kW),22-08-2025 01:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 01:00
10010803683,000000000022208324,0.412,Active Import Interval (kW),22-08-2025 00:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 00:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),22-08-2025 00:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),22-08-2025 00:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 23:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 23:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 23:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 23:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 22:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 22:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 22:00
10010803683,000000000022208324,0.002,Active Export Interval (kW),21-08-2025 22:00
10010803683,000000000022208324,0.012,Active Import Interval (kW),21-08-2025 21:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 21:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 21:00
10010803683,000000000022208324,0.016,Active Export Interval (kW),21-08-2025 21:00
10010803683,000000000022208324,0.044,Active Export Interval (kW),21-08-2025 20:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 20:30
10010803683,000000000022208324,0.454,Active Export Interval (kW),21-08-2025 20:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 20:00
10010803683,000000000022208324,0.872,Active Export Interval (kW),21-08-2025 19:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 19:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 19:00
10010803683,000000000022208324,0.836,Active Export Interval (kW),21-08-2025 19:00
10010803683,000000000022208324,1.002,Active Export Interval (kW),21-08-2025 18:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 18:30
10010803683,000000000022208324,1.196,Active Export Interval (kW),21-08-2025 18:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 18:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 17:30
10010803683,000000000022208324,1.972,Active Export Interval (kW),21-08-2025 17:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 17:00
10010803683,000000000022208324,1.810,Active Export Interval (kW),21-08-2025 17:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 16:30
10010803683,000000000022208324,2.234,Active Export Interval (kW),21-08-2025 16:30
10010803683,000000000022208324,2.254,Active Export Interval (kW),21-08-2025 16:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 16:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 15:30
10010803683,000000000022208324,3.400,Active Export Interval (kW),21-08-2025 15:30
10010803683,000000000022208324,3.484,Active Export Interval (kW),21-08-2025 15:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 15:00
10010803683,000000000022208324,4.228,Active Export Interval (kW),21-08-2025 14:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 14:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 14:00
10010803683,000000000022208324,4.008,Active Export Interval (kW),21-08-2025 14:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 13:30
10010803683,000000000022208324,4.274,Active Export Interval (kW),21-08-2025 13:30
10010803683,000000000022208324,4.120,Active Export Interval (kW),21-08-2025 13:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 13:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 12:30
10010803683,000000000022208324,4.136,Active Export Interval (kW),21-08-2025 12:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 12:00
10010803683,000000000022208324,4.642,Active Export Interval (kW),21-08-2025 12:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 11:30
10010803683,000000000022208324,4.594,Active Export Interval (kW),21-08-2025 11:30
10010803683,000000000022208324,3.960,Active Export Interval (kW),21-08-2025 11:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 11:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 10:30
10010803683,000000000022208324,2.556,Active Export Interval (kW),21-08-2025 10:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 10:00
10010803683,000000000022208324,3.008,Active Export Interval (kW),21-08-2025 10:00
10010803683,000000000022208324,1.684,Active Export Interval (kW),21-08-2025 09:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 09:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 09:00
